Date,Open,High,Low,Close,Volume,Adj Close
2015-11-23,167.13,167.13,167.05,167.09,000,167.09
2015-11-20,167.12,167.14,167.12,167.14,000,167.14
2015-11-19,166.96,167.10,166.96,167.09,000,167.09
2015-11-18,167.03,167.06,167.03,167.06,000,167.06
2015-11-17,167.00,167.00,166.98,166.99,000,166.99
2015-11-16,166.99,166.99,166.89,166.92,000,166.92
2015-11-13,166.91,166.92,166.90,166.90,000,166.90
2015-11-12,166.86,166.86,166.80,166.80,000,166.80
2015-11-11,167.01,167.23,167.01,167.19,000,167.19
2015-11-10,167.00,167.06,167.00,167.03,000,167.03
2015-11-09,166.57,166.71,166.51,166.71,000,166.71
2015-11-06,166.96,166.96,166.62,166.62,000,166.62
2015-11-05,166.95,167.03,166.93,166.93,000,166.93
2015-11-04,167.06,167.16,166.99,166.99,000,166.99
2015-11-02,166.93,166.98,166.88,166.88,000,166.88
2015-10-30,167.19,167.19,167.09,167.12,000,167.12
2015-10-29,167.25,167.25,167.11,167.11,000,167.11
2015-10-28,167.11,167.38,167.11,167.37,000,167.37
2015-10-27,166.96,167.11,166.96,167.11,000,167.11
2015-10-26,167.00,167.00,166.94,166.94,000,166.94
2015-10-23,167.18,167.19,167.10,167.12,400,167.12
2015-10-22,166.58,167.11,166.53,167.11,000,167.11
2015-10-21,166.42,166.56,166.42,166.56,000,166.56
2015-10-20,166.61,166.61,166.40,166.40,000,166.40
2015-10-19,166.56,166.64,166.56,166.58,000,166.58
2015-10-16,166.56,166.59,166.55,166.57,000,166.57
2015-10-15,166.54,166.56,166.54,166.56,000,166.56
2015-10-14,166.52,166.55,166.52,166.52,000,166.52
2015-10-13,166.49,166.51,166.49,166.49,000,166.49
2015-10-12,166.41,166.50,166.41,166.47,000,166.47
2015-10-09,166.43,166.45,166.40,166.45,000,166.45
2015-10-08,166.48,166.48,166.41,166.41,000,166.41
2015-10-07,166.36,166.40,166.36,166.40,000,166.40
2015-10-06,166.47,166.47,166.37,166.41,000,166.41
2015-10-05,166.56,166.58,166.52,166.52,000,166.52
2015-10-02,166.38,166.55,166.35,166.55,000,166.55
2015-10-01,166.22,166.39,166.22,166.39,000,166.39
2015-09-30,166.19,166.21,166.16,166.21,000,166.21
2015-09-29,166.18,166.18,166.16,166.18,000,166.18
2015-09-28,165.96,166.18,165.96,166.14,000,166.14
2015-09-24,166.11,166.18,166.11,166.16,000,166.16
2015-09-23,166.13,166.14,166.02,166.02,000,166.02
2015-09-22,166.04,166.15,165.79,165.79,000,165.79
2015-09-21,166.02,166.02,165.94,165.94,000,165.94
2015-09-18,165.94,166.03,165.89,166.03,000,166.03
2015-09-17,165.68,165.70,165.67,165.67,000,165.67
2015-09-16,165.84,165.85,165.74,165.74,100,165.74
2015-09-15,165.97,165.97,165.83,165.83,000,165.83
2015-09-14,165.97,166.00,165.95,165.95,000,165.95
2015-09-11,165.99,166.02,165.98,166.02,000,166.02
2015-09-10,166.08,166.08,165.98,165.98,000,165.98
2015-09-09,166.01,166.06,166.00,166.02,000,166.02
2015-09-08,165.90,166.02,165.86,166.02,000,166.02
2015-09-07,166.02,166.02,165.93,165.93,000,165.93
